"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","YrTag","demo.note","tag.pulled","problem.tag","phenology","plantid","trt","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1","no.seeds","pseeds"
2021,13,3375,14,"F",NA,NA,NA,NA,NA,2017,"NPNT",NA,NA,NA,"3375_13","control","dead",0,"Dead",NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,7,3375,3,"C","2",42,21,2,"12",2022,"",NA,NA,NA,"3375_7","drought","alive",1,"Flowering",1,NA,"3",2,1,1,NA,0,0
2023,7,3375,3,"C","3",35.5,10,2,"0",2022,"both umbels dead",NA,NA,NA,"3375_7","drought","alive",1,"Flowering",1,NA,"4",2,1,1,1,0,0
2024,7,3375,3,"C","4",3,29.5,2,"4",2022,"",NA,NA,NA,"3375_7","drought","alive",1,"Flowering",1,NA,"1",1,1,1,1,0,0
2025,7,3375,3,"C","1",NA,28.5,1,NA,2022,"umbel dead",NA,NA,NA,"3375_7","drought","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,0,0
2026,7,3375,3,"C",NA,NA,NA,NA,NA,2022,"NPNT",NA,NA,NA,"3375_7","drought",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2017,7,3375,3,"C","2",27,17,1,"1.5",2017,"",NA,NA,NA,"3375_7_senior","drought","alive",1,"Flowering",1,NA,"2",0,0,1,NA,NA,NA
2018,7,3375,3,"C","2",7.5,7.5,0,NA,2017,"",NA,NA,NA,"3375_7_senior","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2019,7,3375,3,"C","2",NA,20.5,0,NA,2017,"",NA,NA,NA,"3375_7_senior","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,0,0,NA,NA
2020,7,3375,3,"C","0",NA,NA,NA,NA,2017,"no plant",NA,NA,NA,"3375_7_senior","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2017,12,3376,16,"E","1",2,2,0,NA,2017,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2018,12,3376,16,"E","2",4,4,0,NA,2017,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2019,12,3376,16,"E","1",NA,9,0,NA,2017,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,12,3376,16,"E","1",NA,6.7,0,NA,2017,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2021,12,3376,16,"E","1",NA,12.5,0,NA,2017,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2022,12,3376,16,"E","1",NA,14.5,0,NA,2017,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2023,12,3376,16,"E","1",NA,21,0,NA,2017,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2024,12,3376,16,"E","1",NA,11.5,0,NA,NA,"",NA,NA,NA,"3376_12","irrigated","alive",1,"Vegetative",0,NA,"0",NA,NA,0,0,NA,NA
2025,12,3376,16,"E","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3376_12","irrigated","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2017,13,3376,16,"F","1",8.5,8.5,0,NA,2017,"",NA,NA,NA,"3376_13","control","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2018,13,3376,16,"F","2",10.5,10.5,0,NA,2017,"",NA,NA,NA,"3376_13","control","alive",1,"Vegetative",0,NA,"3",0,0,1,0,NA,NA
2019,13,3376,16,"F","3",NA,12.5,0,NA,2017,"",NA,NA,NA,"3376_13","control","alive",1,"Vegetative",0,NA,NA,NA,NA,1,0,NA,NA
2020,13,3376,16,"F",NA,NA,NA,NA,NA,2017,"NS",NA,NA,NA,"3376_13","control",NA,1,NA,NA,NA,"4",1,1,1,0,NA,NA
2021,13,3376,16,"F","4",17,17,1,"2",2017,"",NA,NA,NA,"3376_13","control","alive",1,"Flowering",1,NA,"4",3,1,1,NA,0,0
2022,13,3376,16,"F","4",40,11,3,"11.5",2017,"",NA,NA,NA,"3376_13","control","alive",1,"Flowering",1,NA,"7",4,1,1,1,262,1
2023,13,3376,16,"F","7",39,15,4,"24",2017,"",NA,NA,NA,"3376_13","control","alive",1,"Flowering",1,NA,"2",2,1,1,1,NA,NA
2024,13,3376,16,"F","2",33,15,2,"5",NA,"first umbel measured was shriveled and dead",NA,NA,NA,"3376_13","control","alive",1,"Flowering",1,NA,"1",1,1,1,1,104,1
2025,13,3376,16,"F","1",27,18,1,"4",NA,"",NA,NA,NA,"3376_13","control","alive",1,"Flowering",1,NA,"4",1,1,1,1,NA,NA
2026,13,3376,16,"F","4",27,19,1,"3.5",NA,"",NA,NA,NA,"3376_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,0,0
2017,13,3377,18,"D","1",4,4,0,NA,2017,"",NA,NA,NA,"3377_13","control","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2018,13,3377,18,"D","2",8,8,0,NA,2017,"",NA,NA,NA,"3377_13","control","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2019,13,3377,18,"D","2",NA,11.5,0,NA,2017,"",NA,NA,NA,"3377_13","control","alive",1,"Vegetative",0,NA,NA,NA,NA,1,0,NA,NA
2020,13,3377,18,"D",NA,NA,NA,NA,NA,2017,"NS",NA,NA,NA,"3377_13","control",NA,1,NA,NA,NA,"2",0,0,1,0,NA,NA
2021,13,3377,18,"D","2",NA,12,0,NA,2017,"",NA,NA,NA,"3377_13","control","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2022,13,3377,18,"D","1",NA,9,0,NA,2017,"",NA,NA,NA,"3377_13","control","alive",1,"Vegetative",0,NA,"3",2,1,1,0,NA,NA
2023,13,3377,18,"D","3",38,12,2,"11",2017,"",NA,NA,NA,"3377_13","control","alive",1,"Flowering",1,NA,"0",NA,NA,1,0,NA,NA
2024,13,3377,18,"D","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3377_13","control","dormant",1,"Dormant",NA,NA,"2",0,0,1,1,NA,NA
2025,13,3377,18,"D","2",NA,17,0,NA,NA,"",NA,NA,NA,"3377_13","control","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,NA,NA,NA
2026,13,3377,18,"D","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3377_13","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2021,15,3377,14,"G","1",11,11,1,"3.5",2021,"",NA,NA,NA,"3377_15","drought","alive",1,"Flowering",1,NA,"5",3,1,1,NA,0,0
2022,15,3377,14,"G","5",37,23,3,"13.5",2021,"",NA,NA,NA,"3377_15","drought","alive",1,"Flowering",1,NA,"6",4,1,1,1,180,1
2023,15,3377,14,"G","6",47,19,4,"21",2021,"1 umbel maybe dead",NA,NA,NA,"3377_15","drought","alive",1,"Flowering",1,NA,"4",2,1,1,1,172,1
2024,15,3377,14,"G","4",35.5,21.5,2,"5.5",2021,"",NA,NA,NA,"3377_15","drought","alive",1,"Flowering",1,NA,"3",0,0,1,1,42,1
2025,15,3377,14,"G","3",NA,21,0,NA,2021,"",NA,NA,NA,"3377_15","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2026,15,3377,14,"G","2",NA,18,0,NA,2021,"",NA,NA,NA,"3377_15","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2017,15,3377,14,"G","2",22,12,1,"3.5",2017,"",NA,NA,NA,"3377_15_senior","drought","alive",1,"Flowering",1,NA,"3",2,1,1,NA,NA,NA
2018,15,3377,14,"G","3",22,15,2,"3",2017,"",NA,NA,NA,"3377_15_senior","drought","alive",1,"Flowering",1,NA,"0",NA,NA,0,1,NA,NA
2019,15,3377,14,"G","0",NA,NA,NA,NA,2017,"no plant",NA,NA,NA,"3377_15_senior","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2017,10,3378,5,"D","2",19,19,0,NA,2017,"",NA,NA,NA,"3378_10","drought","alive",1,"Vegetative",0,NA,"2",1,1,1,NA,NA,NA
2018,10,3378,5,"D","2",16,15,1,"3.5",2017,"",NA,NA,NA,"3378_10","drought","alive",1,"Flowering",1,NA,"2",1,1,1,0,NA,NA
2019,10,3378,5,"D","2",21,13.5,1,"5.5",2017,"",NA,NA,NA,"3378_10","drought","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2020,10,3378,5,"D","1",NA,12.2,0,NA,2017,"",NA,NA,NA,"3378_10","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2021,10,3378,5,"D","1",NA,13,0,NA,2017,"",NA,NA,NA,"3378_10","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2022,10,3378,5,"D","2",NA,19,0,NA,2017,"",NA,NA,NA,"3378_10","drought","alive",1,"Vegetative",0,NA,"6",3,1,1,0,NA,NA
2023,10,3378,5,"D","6",53,17,3,"14.5",2017,"",NA,NA,NA,"3378_10","drought","alive",1,"Flowering",1,NA,"2",0,0,1,0,244,1
2024,10,3378,5,"D","2",NA,30,0,NA,NA,"",NA,NA,NA,"3378_10","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2025,10,3378,5,"D","1",NA,18,0,NA,NA,"",NA,NA,NA,"3378_10","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,0,NA,NA
2026,10,3378,5,"D","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3378_10","drought",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2021,14,3378,16,"A","1",NA,8,0,NA,2021,"",NA,NA,NA,"3378_14","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2022,14,3378,16,"A","2",NA,11.5,0,NA,2021,"",NA,NA,NA,"3378_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2023,14,3378,16,"A","1",NA,15.5,0,NA,2021,"",NA,NA,NA,"3378_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2024,14,3378,16,"A","1",NA,9,0,NA,2021,"",NA,NA,NA,"3378_14","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,0,0,NA,NA
2025,14,3378,16,"A","0",NA,NA,NA,NA,2021,"NP",NA,NA,NA,"3378_14","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2017,14,3378,16,"A","1",9.5,9.5,0,NA,2017,"",NA,NA,NA,"3378_14_senior","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2018,14,3378,16,"A","2",13.5,13.5,0,NA,2017,"",NA,NA,NA,"3378_14_senior","drought","alive",1,"Vegetative",0,NA,"0",0,NA,0,0,NA,NA
2019,14,3378,16,"A","0",NA,NA,0,NA,2017,"no plant",NA,NA,NA,"3378_14_senior","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2017,14,3379,2,"A","4",29,13,1,"2",2017,"",NA,NA,NA,"3379_14","drought","alive",1,"Flowering",1,NA,"2",0,0,1,NA,NA,NA
2018,14,3379,2,"A","2",23.5,23.5,0,NA,2017,"",NA,NA,NA,"3379_14","drought","alive",1,"Vegetative",0,NA,"5",2,1,1,1,NA,NA
2019,14,3379,2,"A","5",16,7,2,"2",2017,"",NA,NA,NA,"3379_14","drought","alive",1,"Flowering",1,NA,"1",0,0,1,0,NA,NA
2020,14,3379,2,"A","1",NA,3.6,0,NA,2017,"",NA,NA,NA,"3379_14","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2021,14,3379,2,"A","2",NA,15,0,NA,2017,"",NA,NA,NA,"3379_14","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,1,0,NA,NA
2022,14,3379,2,"A","0",NA,NA,NA,NA,2017,"NP",NA,NA,NA,"3379_14","drought","dormant",1,"Dormant",NA,NA,"3",2,1,1,0,0,0
2023,14,3379,2,"A","3",45,17,2,"6",2017,"",NA,NA,NA,"3379_14","drought","alive",1,"Flowering",1,NA,"2",1,1,1,NA,60,1
2024,14,3379,2,"A","2",15,21.5,1,"2",NA,"",NA,NA,NA,"3379_14","drought","alive",1,"Flowering",1,NA,"3",1,1,1,1,0,0
2025,14,3379,2,"A","3",NA,13,1,NA,NA,"",NA,NA,NA,"3379_14","drought","alive",1,"Flowering",1,NA,"1",0,0,1,1,6,1
2026,14,3379,2,"A","1",NA,18,0,NA,NA,"",NA,NA,NA,"3379_14","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1,NA,NA
2017,14,3380,5,"A","2",14,14,0,NA,2017,"",NA,NA,NA,"3380_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2018,14,3380,5,"A","1",6.5,6.5,0,NA,2017,"",NA,NA,NA,"3380_14","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2019,14,3380,5,"A","2",NA,11.5,0,NA,2017,"",NA,NA,NA,"3380_14","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,1,0,NA,NA
2020,14,3380,5,"A","0",NA,NA,NA,NA,2017,"no plant",NA,NA,NA,"3380_14","drought","dormant",1,"Dormant",NA,NA,"1",0,0,1,0,NA,NA
2021,14,3380,5,"A","1",NA,11,0,NA,2017,"",NA,NA,NA,"3380_14","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,0,NA,NA,NA
2022,14,3380,5,"A","0",NA,NA,NA,NA,2017,"NP",NA,NA,NA,"3380_14","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2017,14,3381,5,"A","2",11.5,11.5,0,NA,2017,"",NA,NA,NA,"3381_14","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2018,14,3381,5,"A","2",14.5,14.5,0,NA,2017,"",NA,NA,NA,"3381_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2019,14,3381,5,"A","1",NA,9.5,0,NA,2017,"",NA,NA,NA,"3381_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,14,3381,5,"A","1",NA,9.1,0,NA,2017,"",NA,NA,NA,"3381_14","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,0,0,NA,NA
2021,14,3381,5,"A","0",NA,NA,NA,NA,2017,"NP",NA,NA,NA,"3381_14","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2017,13,3382,5,"C","2",16.5,9.5,3,"2",2017,"",NA,NA,NA,"3382_13","control","alive",1,"Flowering",1,NA,"2",1,1,1,NA,NA,NA
2018,13,3382,5,"C","2",16,8.5,1,"3",2017,"",NA,NA,NA,"3382_13","control","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2019,13,3382,5,"C","1",NA,11,0,NA,2017,"",NA,NA,NA,"3382_13","control","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2020,13,3382,5,"C","1",NA,11.3,0,NA,2017,"",NA,NA,NA,"3382_13","control","alive",1,"Vegetative",0,NA,"2",1,1,1,0,NA,NA
2021,13,3382,5,"C","2",22,10,1,"4",2017,"",NA,NA,NA,"3382_13","control","alive",1,"Flowering",1,NA,"5",3,1,1,0,0,0
2022,13,3382,5,"C","5",32,8,3,"14.5",2017,"",NA,NA,NA,"3382_13","control","alive",1,"Flowering",1,NA,"4",2,1,1,1,154,1
2023,13,3382,5,"C","4",29,5,2,"9.5",2017,"",NA,NA,NA,"3382_13","control","alive",1,"Flowering",1,NA,"2",1,1,1,1,18,1
2024,13,3382,5,"C","2",28.5,7.5,1,"3",NA,"",NA,NA,NA,"3382_13","control","alive",1,"Flowering",1,NA,"4",0,0,1,1,40,1
2025,13,3382,5,"C","4",NA,12.5,0,NA,NA,"",NA,NA,NA,"3382_13","control","alive",1,"Vegetative",0,NA,"5",2,1,1,1,NA,NA
2026,13,3382,5,"C","5",24,11,2,"5",NA,"",NA,NA,NA,"3382_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,NA,0,0,0
2017,14,3382,4,"A","2",10,10,0,NA,2017,"",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2018,14,3382,4,"A","1",6.5,6.5,0,NA,2017,"",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2019,14,3382,4,"A","1",NA,12.5,0,NA,2017,"",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,14,3382,4,"A","1",NA,12.4,0,NA,2017,"",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2021,14,3382,4,"A","2",NA,14,0,NA,2017,"",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2022,14,3382,4,"A","1",NA,23,0,NA,2017,"",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,"2",1,1,1,0,NA,NA
2023,14,3382,4,"A","2",38,13,1,"5",2017,"",NA,NA,NA,"3382_14","drought","alive",1,"Flowering",1,NA,"0",NA,NA,1,0,10,1
2024,14,3382,4,"A","0",NA,NA,NA,NA,NA,"NP; moss",NA,NA,NA,"3382_14","drought","dormant",1,"Dormant",NA,NA,"1",0,0,1,1,NA,NA
2025,14,3382,4,"A","1",NA,13,0,NA,NA,"moss",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2026,14,3382,4,"A","1",NA,21.5,0,NA,NA,"",NA,NA,NA,"3382_14","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2016,15,3382,2,"I","3",31,15,1,"3.5",2016,"",NA,NA,NA,"3382_15","drought","alive",1,"Flowering",1,NA,NA,NA,NA,NA,NA,NA,NA
2017,13,3383,18,"I","1",13,9.5,1,"1.5",2017,"",NA,NA,NA,"3383_13","control","alive",1,"Flowering",1,NA,"1",0,0,1,NA,NA,NA
2018,13,3383,18,"I","1",8.5,8.5,0,NA,2017,"",NA,NA,NA,"3383_13","control","alive",1,"Vegetative",0,NA,"10",3,1,1,1,NA,NA
2019,13,3383,18,"I","10",21.5,11,3,"5",2017,"",NA,NA,NA,"3383_13","control","alive",1,"Flowering",1,NA,"2",0,0,1,0,NA,NA
2020,13,3383,18,"I","2",NA,10,0,NA,2017,"",NA,NA,NA,"3383_13","control","alive",1,"Vegetative",0,NA,"3",0,0,1,1,NA,NA
2021,13,3383,18,"I","3",NA,15,0,NA,2017,"",NA,NA,NA,"3383_13","control","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2022,13,3383,18,"I","1",NA,9,0,NA,2017,"",NA,NA,NA,"3383_13","control","alive",1,"Vegetative",0,NA,"5",3,1,1,0,NA,NA
2023,13,3383,18,"I","5",30,12.5,3,"13.5",2017,"",NA,NA,NA,"3383_13","control","alive",1,"Flowering",1,NA,"1",0,0,1,0,NA,NA
2024,13,3383,18,"I","1",NA,17,0,NA,NA,"",NA,NA,NA,"3383_13","control","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2025,13,3383,18,"I","1",NA,20,0,NA,NA,"",NA,NA,NA,"3383_13","control","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,0,NA,NA
2026,13,3383,18,"I","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3383_13","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2018,14,3383,3,"A","2",16.5,12.5,1,"3.2",2018,"",NA,NA,NA,"3383_14","drought","alive",1,"Flowering",1,NA,"0",NA,NA,0,NA,NA,NA
2019,14,3383,3,"A","0",NA,NA,NA,NA,2018,"no plant",NA,NA,NA,"3383_14","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2017,13,3384,6,"G","2",9.5,14,1,"3",2017,"",NA,NA,NA,"3384_13","control","alive",1,"Flowering",1,NA,"1",0,0,1,NA,NA,NA
2018,13,3384,6,"G","1",9.5,9.5,0,NA,2017,"",NA,NA,NA,"3384_13","control","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2019,13,3384,6,"G","2",NA,12.5,0,NA,2017,"",NA,NA,NA,"3384_13","control","alive",1,"Vegetative",0,NA,"0",NA,NA,1,0,NA,NA
2020,13,3384,6,"G","0",NA,NA,NA,NA,2017,"no plant",NA,NA,NA,"3384_13","control","dormant",1,"Dormant",NA,NA,"2",0,0,1,0,NA,NA
2021,13,3384,6,"G","2",NA,13.5,0,NA,2017,"",NA,NA,NA,"3384_13","control","alive",1,"Vegetative",0,NA,"3",1,1,1,NA,NA,NA
2022,13,3384,6,"G","3",21,13.5,1,"4",2017,"",NA,NA,NA,"3384_13","control","alive",1,"Flowering",1,NA,"2",1,1,1,0,58,1
2023,13,3384,6,"G","2",12,17.5,1,"2.5",2017,"",NA,NA,NA,"3384_13","control","alive",1,"Flowering",1,NA,"1",1,1,1,1,10,1
2024,13,3384,6,"G","1",16,14,1,"2.5",NA,"",NA,NA,NA,"3384_13","control","alive",1,"Flowering",1,NA,"2",1,1,1,1,0,0
2025,13,3384,6,"G","2",28,18,1,"5.5",NA,"",NA,NA,NA,"3384_13","control","alive",1,"Flowering",1,NA,"3",2,1,1,1,NA,NA
2026,13,3384,6,"G","3",24,16.5,2,"4.5",NA,"",NA,NA,NA,"3384_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,0,0
2017,15,3384,16,"I","7",31,13,3,"5",2017,"",NA,NA,NA,"3384_15","drought","alive",1,"Flowering",1,NA,"6",1,1,1,NA,NA,NA
2018,15,3384,16,"I","6",14,19.5,1,"4.3",2017,"",NA,NA,NA,"3384_15","drought","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2019,15,3384,16,"I","1",NA,10,0,NA,2017,"",NA,NA,NA,"3384_15","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,1,1,NA,NA
2020,15,3384,16,"I",NA,NA,NA,NA,NA,2017,"NS",NA,NA,NA,"3384_15","drought",NA,1,NA,NA,NA,"3",0,0,1,0,NA,NA
2021,15,3384,16,"I","3",NA,14.5,0,NA,2017,"",NA,NA,NA,"3384_15","drought","alive",1,"Vegetative",0,NA,"4",4,1,1,NA,NA,NA
2022,15,3384,16,"I","4",38,17,4,"21",2017,"",NA,NA,NA,"3384_15","drought","alive",1,"Flowering",1,NA,"2",1,1,1,0,198,1
2023,15,3384,16,"I","2",30.5,14.5,1,"6.5",2017,"",NA,NA,NA,"3384_15","drought","alive",1,"Flowering",1,NA,"6",4,1,1,1,8,1
2024,15,3384,16,"I","6",43,18.5,4,"13",NA,"",NA,NA,NA,"3384_15","drought","alive",1,"Flowering",1,NA,"0",NA,NA,0,1,158,1
2025,15,3384,16,"I","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3384_15","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2017,13,3385,16,"D","3",20.5,14.5,1,"3.5",2017,"",NA,NA,NA,"3385_13","control","alive",1,"Flowering",1,NA,"5",1,1,1,NA,NA,NA
2018,13,3385,16,"D","5",9.5,11.5,1,"0.5",2017,"",NA,NA,NA,"3385_13","control","alive",1,"Flowering",1,NA,"3",1,1,1,1,NA,NA
2019,13,3385,16,"D","3",22,13.5,1,"4",2017,"",NA,NA,NA,"3385_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,NA,NA
2020,13,3385,16,"D",NA,NA,NA,NA,NA,2017,"NS",NA,NA,NA,"3385_13","control",NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2021,13,3385,16,"D",NA,NA,NA,NA,NA,2017,"NPNT",NA,NA,NA,"3385_13","control","dead",0,"Dead",NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,14,3385,5,"D","1",16,16,0,NA,2017,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,"2",1,1,1,NA,NA,NA
2018,14,3385,5,"D","2",13.5,9.5,1,"1.7",2017,"",NA,NA,NA,"3385_14","drought","alive",1,"Flowering",1,NA,"1",0,0,1,0,NA,NA
2019,14,3385,5,"D","1",NA,12.5,0,NA,2017,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2020,14,3385,5,"D","1",NA,12.1,0,NA,2017,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2021,14,3385,5,"D","1",NA,18,0,NA,2017,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,"3",1,1,1,0,NA,NA
2022,14,3385,5,"D","3",37,16.5,1,"4.5",2017,"",NA,NA,NA,"3385_14","drought","alive",1,"Flowering",1,NA,"3",0,0,1,0,86,1
2023,14,3385,5,"D","3",NA,23,0,NA,2017,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2024,14,3385,5,"D","1",NA,19,0,NA,NA,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2025,14,3385,5,"D","1",NA,16,0,NA,NA,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2026,14,3385,5,"D","1",NA,11,0,NA,NA,"",NA,NA,NA,"3385_14","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2017,12,3386,17,"D","2",4,4,0,NA,2017,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2018,12,3386,17,"D","1",5.5,5.5,0,NA,2017,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2019,12,3386,17,"D","1",NA,6.5,0,NA,2017,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,12,3386,17,"D","1",NA,4.1,0,NA,2017,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2021,12,3386,17,"D","1",NA,13,0,NA,2017,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2022,12,3386,17,"D","1",NA,15.5,0,NA,2017,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2023,12,3386,17,"D","1",NA,12,0,NA,2017,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"0",NA,NA,1,0,NA,NA
2024,12,3386,17,"D","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3386_12","irrigated","dormant",1,"Dormant",NA,NA,"1",0,0,1,0,NA,NA
2025,12,3386,17,"D","1",NA,17,0,NA,NA,"",NA,NA,NA,"3386_12","irrigated","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,NA,NA,NA
2026,12,3386,17,"D","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3386_12","irrigated",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
