"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","demo.note","plantid","trt","death_year","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1"
2022,4,3007,4,"H","3",41,13.5,1,"5","","3007_4","irrigated",NA,"alive",1,"Flowering",1,NA,"1",0,0,1,0
2023,4,3007,4,"H","1",NA,26,0,NA,"","3007_4","irrigated",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,1
2024,4,3007,4,"H","2",NA,21,0,NA,"","3007_4","irrigated",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,0
2025,4,3007,4,"H","2",NA,25,0,NA,"","3007_4","irrigated",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0
2016,6,3008,4,"J","6",NA,7.8,1,"6.1","Dead leaves","3008_6","irrigated",NA,"alive",1,"Flowering",1,NA,"5",3,1,1,NA
2017,6,3008,4,"J","5",NA,12.5,3,"4","","3008_6","irrigated",NA,"alive",1,"Flowering",1,NA,"2",0,0,1,1
2018,6,3008,4,"J","2",12.5,12.5,0,NA,"","3008_6","irrigated",NA,"alive",1,"Vegetative",0,NA,"1",0,0,1,1
2019,6,3008,4,"J","1",NA,21.5,0,NA,"","3008_6","irrigated",NA,"alive",1,"Vegetative",0,NA,"1",0,0,1,0
2020,6,3008,4,"J","1",NA,15.5,0,NA,"","3008_6","irrigated",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,0
2021,6,3008,4,"J","2",NA,24.5,0,NA,"","3008_6","irrigated",NA,"alive",1,"Vegetative",0,NA,"2",1,1,1,0
2022,6,3008,4,"J","2",51,27,1,"7","","3008_6","irrigated",NA,"alive",1,"Flowering",1,NA,"3",2,1,1,0
2023,6,3008,4,"J","3",39,19,2,"SOS","","3008_6","irrigated",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2024,6,3008,4,"J","2",23,16.5,1,"4","","3008_6","irrigated",NA,"alive",1,"Flowering",1,NA,"0",NA,NA,NA,1
2025,6,3008,4,"J","0",NA,NA,NA,NA,"NP","3008_6","irrigated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2016,13,3009,17,"J","4",NA,7.6,1,"3.4","","3009_13","control",2020,"alive",1,"Flowering",1,NA,"5",1,1,1,NA
2017,13,3009,17,"J","5",NA,12.5,1,"2.5","","3009_13","control",2020,"alive",1,"Flowering",1,NA,"6",2,1,1,1
2018,13,3009,17,"J","6",11,9.5,2,"3.5","","3009_13","control",2020,"alive",1,"Flowering",1,NA,"5",1,1,1,1
2019,13,3009,17,"J","5",21,13.5,1,"3","","3009_13","control",2020,"alive",1,"Flowering",1,NA,"0",NA,NA,0,1
2020,13,3009,17,"J","0",NA,NA,NA,NA,"no plant","3009_13","control",2020,"dead",0,"Dead",NA,NA,NA,NA,NA,NA,1
2016,5,3010,14,"G","3",NA,3.9,0,NA,"","3010_5","drought",NA,"alive",1,"Vegetative",0,NA,"3",1,1,1,NA
2017,5,3010,14,"G","3",NA,13,1,"2.5","","3010_5","drought",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,0
2018,5,3010,14,"G","2",15,11,1,"2.8","","3010_5","drought",NA,"alive",1,"Flowering",1,NA,"1",0,0,1,1
2019,5,3010,14,"G","1",NA,17.5,0,NA,"","3010_5","drought",NA,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1
2020,5,3010,14,"G",NA,NA,NA,NA,NA,"","3010_5","drought",NA,NA,NA,NA,NA,NA,"1",0,0,1,0
2021,5,3010,14,"G","1",NA,5,0,NA,"","3010_5","drought",NA,"alive",1,"Vegetative",0,NA,"3",2,1,1,NA
2022,5,3010,14,"G","3",25,18,2,"SOS","","3010_5","drought",NA,"alive",1,"Flowering",1,NA,"5",3,1,1,0
2023,5,3010,14,"G","5",33,13,3,"SOS","","3010_5","drought",NA,"alive",1,"Flowering",1,NA,"5",2,1,1,1
2024,5,3010,14,"G","5",18,16,2,"6","","3010_5","drought",NA,"alive",1,"Flowering",1,NA,"4",1,1,1,1
2025,5,3010,14,"G","4",14,14,1,"3","","3010_5","drought",NA,"alive",1,"Flowering",1,NA,NA,NA,NA,NA,1
2016,4,3011,3,"H","3",NA,8.8,NA,NA,"","3011_4","irrigated",2022,"alive",1,NA,NA,NA,"4",1,1,1,NA
2017,4,3011,3,"H","4",NA,10,1,"2.5","","3011_4","irrigated",2022,"alive",1,"Flowering",1,NA,"1",0,0,1,NA
2018,4,3011,3,"H","1",10,10,0,"0","","3011_4","irrigated",2022,"alive",1,"Vegetative",0,NA,"1",0,0,1,1
2019,4,3011,3,"H","1",NA,10,0,NA,"","3011_4","irrigated",2022,"alive",1,"Vegetative",0,NA,"1",0,0,1,0
2020,4,3011,3,"H","1",NA,9.4,0,NA,"","3011_4","irrigated",2022,"alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0
